Entity,Code,Year,Year,Births attended by skilled health staff (% of total) (% of total)
Bahrain,BHR,2013,99.8
Bahrain,BHR,2014,99.8
Bahrain,BHR,2015,99.7
Bangladesh,BGD,1994,9.5
Bangladesh,BGD,1997,8
Bangladesh,BGD,2000,12.1
Bangladesh,BGD,2001,12
Bangladesh,BGD,2003,13.9
Bangladesh,BGD,2004,13.2
Bangladesh,BGD,2006,20.1
Bangladesh,BGD,2007,18
Bangladesh,BGD,2009,24.4
Bangladesh,BGD,2010,26.5
Bangladesh,BGD,2011,31.7
Bangladesh,BGD,2013,36.5
Bangladesh,BGD,2014,42.1
Bangladesh,BGD,2016,49.8
Barbados,BRB,1995,100
Barbados,BRB,1999,91
Barbados,BRB,2000,98
Barbados,BRB,2002,100
Barbados,BRB,2003,100
Barbados,BRB,2004,100
Barbados,BRB,2005,100
Barbados,BRB,2006,100
Barbados,BRB,2007,100
Barbados,BRB,2008,100
Barbados,BRB,2011,100
Barbados,BRB,2012,98.9
Barbados,BRB,2013,98.6
Barbados,BRB,2014,99.7
Barbados,BRB,2015,99
Belarus,BLR,1986,100
Belarus,BLR,1989,99.9
Belarus,BLR,1990,99.9
Belarus,BLR,1991,99.9
Belarus,BLR,1992,99.9
Belarus,BLR,1993,99.9
Belarus,BLR,1994,99.9
Belarus,BLR,1995,99.9
Belarus,BLR,1996,99.9
Belarus,BLR,1997,99.9
Belarus,BLR,1998,99.9
Belarus,BLR,1999,99.9
Belarus,BLR,2000,99.9
Belarus,BLR,2001,99.9
Belarus,BLR,2002,99.9
Belarus,BLR,2003,99.9
Belarus,BLR,2004,99.9
Belarus,BLR,2005,100
Belarus,BLR,2006,99.9
Belarus,BLR,2007,99.9
Belarus,BLR,2008,99.9
Belarus,BLR,2009,99.9
Belarus,BLR,2010,99.9
Belarus,BLR,2011,99.8
Belarus,BLR,2012,100
Belarus,BLR,2013,99.8
Belarus,BLR,2014,99.8
Belgium,BEL,1987,100
Belgium,BEL,1999,99.3
Belize,BLZ,1991,76.9
Belize,BLZ,1995,79
Belize,BLZ,1998,79
Belize,BLZ,1999,83.8
Belize,BLZ,2000,100
Belize,BLZ,2002,97
Belize,BLZ,2004,87.8
Belize,BLZ,2005,89.3
Belize,BLZ,2006,95.8
Belize,BLZ,2007,94.6
Belize,BLZ,2008,94.9
Belize,BLZ,2009,93.5
Belize,BLZ,2010,94
Belize,BLZ,2011,96.2
Belize,BLZ,2013,94.2
Belize,BLZ,2016,96.8
Benin,BEN,1996,59.8
Benin,BEN,2001,65.5
Benin,BEN,2005,75
Benin,BEN,2006,74
Benin,BEN,2012,80.9
Benin,BEN,2014,77.2
Bhutan,BTN,1994,12
Bhutan,BTN,2000,23.7
Bhutan,BTN,2003,56.1
Bhutan,BTN,2005,52.3
Bhutan,BTN,2006,57.1
Bhutan,BTN,2007,71.4
Bhutan,BTN,2008,66.3
Bhutan,BTN,2009,66
Bhutan,BTN,2010,64.5
Bhutan,BTN,2011,70
Bhutan,BTN,2012,74.6
Bhutan,BTN,2013,89
Bhutan,BTN,2014,89
Bhutan,BTN,2015,89
Bhutan,BTN,2016,89
Bolivia,BOL,1989,42.1
Bolivia,BOL,1994,47.2
Bolivia,BOL,1998,59.3
Bolivia,BOL,2000,67.3
Bolivia,BOL,2002,65.1
Bolivia,BOL,2003,60.8
Bolivia,BOL,2008,71.1
Bolivia,BOL,2011,84
Bolivia,BOL,2012,84.8
Bolivia,BOL,2016,89.8
Bosnia and Herzegovina,BIH,1989,96.6
Bosnia and Herzegovina,BIH,1990,97
Bosnia and Herzegovina,BIH,1991,97.4
Bosnia and Herzegovina,BIH,1996,98.9
Bosnia and Herzegovina,BIH,1997,99.05
Bosnia and Herzegovina,BIH,1998,99.45
Bosnia and Herzegovina,BIH,1999,99.65
Bosnia and Herzegovina,BIH,2000,98.9
Bosnia and Herzegovina,BIH,2001,99.9
Bosnia and Herzegovina,BIH,2002,99.9
Bosnia and Herzegovina,BIH,2003,99.9
Bosnia and Herzegovina,BIH,2004,99.9
Bosnia and Herzegovina,BIH,2005,99.9
Bosnia and Herzegovina,BIH,2006,99.4
Bosnia and Herzegovina,BIH,2007,99.9
Bosnia and Herzegovina,BIH,2008,99.9
Bosnia and Herzegovina,BIH,2009,99.9
Bosnia and Herzegovina,BIH,2010,99.9
Bosnia and Herzegovina,BIH,2011,99.9
Bosnia and Herzegovina,BIH,2012,99.9
Bosnia and Herzegovina,BIH,2014,99.9
Bosnia and Herzegovina,BIH,2015,99.9
Botswana,BWA,1988,77.4
Botswana,BWA,1996,87
Botswana,BWA,2000,98.5
Botswana,BWA,2001,92
Botswana,BWA,2002,96.5
Botswana,BWA,2003,96.1
Botswana,BWA,2004,97.3
Botswana,BWA,2005,94
Botswana,BWA,2006,99.3
Botswana,BWA,2007,94.6
Botswana,BWA,2008,98.3
Botswana,BWA,2009,99.5
Botswana,BWA,2010,99.1
Botswana,BWA,2011,99.8
Botswana,BWA,2012,99.8
Botswana,BWA,2013,99.9
Botswana,BWA,2014,99.5
Botswana,BWA,2015,99.7
Brazil,BRA,1991,69.5
Brazil,BRA,1996,87.6
Brazil,BRA,1997,98.6
Brazil,BRA,1998,98.6
Brazil,BRA,1999,98.6
Brazil,BRA,2000,98.6
Brazil,BRA,2001,98.3
Brazil,BRA,2002,98.5
Brazil,BRA,2003,98.4
Brazil,BRA,2004,98.6
Brazil,BRA,2005,98.6
Brazil,BRA,2006,97
Brazil,BRA,2007,98.6
Brazil,BRA,2008,98.8
Brazil,BRA,2009,98.9
Brazil,BRA,2010,98.9
Brazil,BRA,2011,99
Brazil,BRA,2012,99
Brazil,BRA,2013,99.1
Brazil,BRA,2014,99.1
Brazil,BRA,2015,99.1
British Virgin Islands,VGB,1995,100
British Virgin Islands,VGB,1999,100
British Virgin Islands,VGB,2005,100
Brunei,BRN,1991,97.8
Brunei,BRN,1992,98
Brunei,BRN,1993,97.8
Brunei,BRN,1994,98.2
Brunei,BRN,1995,96.2
Brunei,BRN,1996,98.9
Brunei,BRN,1997,99.6
Brunei,BRN,1998,99.3
Brunei,BRN,1999,99.4
Brunei,BRN,2000,99.2
Brunei,BRN,2001,99.7
Brunei,BRN,2002,99.4
Brunei,BRN,2003,99.4
Brunei,BRN,2004,99.4
Brunei,BRN,2005,99.6
Brunei,BRN,2006,99.6
Brunei,BRN,2007,99.9
Brunei,BRN,2008,99.7
Brunei,BRN,2009,99.8
Brunei,BRN,2010,99.8
Brunei,BRN,2011,99.6
Brunei,BRN,2012,99.8
Brunei,BRN,2013,99.7
Brunei,BRN,2014,99.9
Brunei,BRN,2015,100
Brunei,BRN,2016,100
Bulgaria,BGR,1989,99.3
Bulgaria,BGR,1990,99.1
Bulgaria,BGR,1991,99.5
Bulgaria,BGR,1992,99.8
Bulgaria,BGR,1993,99
Bulgaria,BGR,1994,99
Bulgaria,BGR,1995,98.9
Bulgaria,BGR,1996,99.9
Bulgaria,BGR,1997,99.9
Bulgaria,BGR,1998,99.88003
Bulgaria,BGR,1999,99
Bulgaria,BGR,2000,99.8
Bulgaria,BGR,2001,98.9
Bulgaria,BGR,2002,99.2
Bulgaria,BGR,2003,99.2
Bulgaria,BGR,2004,99.4
Bulgaria,BGR,2005,99.4
Bulgaria,BGR,2006,99.4
Bulgaria,BGR,2007,99.6
Bulgaria,BGR,2008,99.6
Bulgaria,BGR,2009,99.6
Bulgaria,BGR,2010,99.5
Bulgaria,BGR,2013,99.7
Bulgaria,BGR,2014,99.7
Bulgaria,BGR,2015,99.8
Burkina Faso,BFA,1993,41.5
Burkina Faso,BFA,1999,31
Burkina Faso,BFA,2003,37.8
Burkina Faso,BFA,2006,53.5
Burkina Faso,BFA,2010,65.9
Burkina Faso,BFA,2015,79.8
Burundi,BDI,1987,19.1
Burundi,BDI,2000,25.2
Burundi,BDI,2005,31.8
Burundi,BDI,2010,60.3
Burundi,BDI,2017,85.1
Cambodia,KHM,1995,43.3
Cambodia,KHM,1998,34
Cambodia,KHM,2000,31.8
Cambodia,KHM,2004,16.3
Cambodia,KHM,2005,43.8
Cambodia,KHM,2010,71
Cambodia,KHM,2011,71.7
Cambodia,KHM,2012,74
Cambodia,KHM,2014,89
Cameroon,CMR,1991,58.4
Cameroon,CMR,1998,55
Cameroon,CMR,2000,56
Cameroon,CMR,2004,58.9
Cameroon,CMR,2006,58.9
Cameroon,CMR,2011,56.1
Cameroon,CMR,2014,64.7
Canada,CAN,1987,100
Canada,CAN,1991,99.1
Canada,CAN,1992,99.6
Canada,CAN,1993,99.4
Canada,CAN,1994,99.3
Canada,CAN,1995,99.4
Canada,CAN,1996,99.2
Canada,CAN,1997,99.3
Canada,CAN,1998,99.3
Canada,CAN,1999,99.2
Canada,CAN,2000,99.3
Canada,CAN,2001,99.3
Canada,CAN,2002,99.3
Canada,CAN,2003,98.9
Canada,CAN,2004,99
Canada,CAN,2005,98.8
Canada,CAN,2006,98.8
Canada,CAN,2007,98.8
Canada,CAN,2008,98.7
Canada,CAN,2009,98.6
Canada,CAN,2010,98.5
Canada,CAN,2011,98.4
Canada,CAN,2012,98.1
Canada,CAN,2013,98
Canada,CAN,2014,97.9
Cape Verde,CPV,1995,54
Cape Verde,CPV,1998,88.5
Cape Verde,CPV,2005,77.5
Cape Verde,CPV,2006,76.4
Cape Verde,CPV,2007,74.4
Cape Verde,CPV,2008,74.6
Cape Verde,CPV,2009,75.6
Cape Verde,CPV,2010,98.5
Cape Verde,CPV,2011,98.7
Cape Verde,CPV,2013,92.3
Cape Verde,CPV,2014,95.6
Cape Verde,CPV,2015,91.4
Caribbean small states,,2000,92.5855295881226
Caribbean small states,,2014,95.6790213660138
Cayman Islands,CYM,2005,100
Central African Republic,CAF,1995,45.9
Central African Republic,CAF,2000,31.7
Central African Republic,CAF,2006,41.4
Central African Republic,CAF,2008,43.7
Central African Republic,CAF,2009,43.7
Central African Republic,CAF,2010,40
Central Europe and the Baltics,,1990,99.0160766612511
Central Europe and the Baltics,,2000,99.4757003188155
Central Europe and the Baltics,,2014,98.8123232397711
Chad,TCD,1997,15
Chad,TCD,2000,13.7
Chad,TCD,2004,14.4
Chad,TCD,2010,16.6
Chad,TCD,2015,20.2
Chile,CHL,1993,99
Chile,CHL,1994,99.5
Chile,CHL,1995,99.5
Chile,CHL,1996,99.6
Chile,CHL,1997,99.4
Chile,CHL,1998,99.6
Chile,CHL,1999,99.4
Chile,CHL,2000,99
Chile,CHL,2001,99.8
Chile,CHL,2002,99.8
Chile,CHL,2003,97.7
Chile,CHL,2004,99.8
Chile,CHL,2005,99.8
Chile,CHL,2006,99.8
Chile,CHL,2007,99.7
Chile,CHL,2008,99.8
Chile,CHL,2009,99.8
Chile,CHL,2010,99.8
Chile,CHL,2011,99.8
Chile,CHL,2012,99.8
Chile,CHL,2013,99.8
Chile,CHL,2014,99.8
Chile,CHL,2015,99.7
China,CHN,1990,94
China,CHN,1991,93.7
China,CHN,1992,84.1
China,CHN,1993,83.6
China,CHN,1994,90.4
China,CHN,1995,89.3
China,CHN,1996,93.1
China,CHN,1997,93.8
China,CHN,1999,96.8
China,CHN,2000,96.6
China,CHN,2001,97.3
China,CHN,2002,96.7
China,CHN,2003,95.9
China,CHN,2004,97.3
China,CHN,2005,97.5
China,CHN,2006,97.8
China,CHN,2007,98.4
China,CHN,2008,99.1
China,CHN,2009,99.3
China,CHN,2010,99.6
China,CHN,2011,99.7
China,CHN,2012,99.8
China,CHN,2013,99.9
China,CHN,2014,99.9
China,CHN,2015,99.9
Colombia,COL,1986,71.1
Colombia,COL,1990,80.6
Colombia,COL,1995,83.6
Colombia,COL,1998,91.3
Colombia,COL,1999,92.1
Colombia,COL,2000,86.1
Colombia,COL,2001,93.1
Colombia,COL,2002,94.5
Colombia,COL,2003,95
Colombia,COL,2004,95.6
Colombia,COL,2005,90.7
Colombia,COL,2006,97.1
Colombia,COL,2007,97.8
Colombia,COL,2008,98.1
Colombia,COL,2009,98.6
Colombia,COL,2010,94.8
Colombia,COL,2011,99.2
Colombia,COL,2012,98.7
Colombia,COL,2013,98.7
Colombia,COL,2014,98.9
Colombia,COL,2015,95.9
Colombia,COL,2016,99.2
Comoros,COM,1996,51.6
Comoros,COM,2000,61.8
Comoros,COM,2012,82.2
Congo,COG,2005,83.4
Congo,COG,2012,92.5
Congo,COG,2015,91.2
Costa Rica,CRI,1986,97
Costa Rica,CRI,1992,98
Costa Rica,CRI,1993,97
Costa Rica,CRI,1998,98
Costa Rica,CRI,1999,98.2
Costa Rica,CRI,2000,96.6
Costa Rica,CRI,2001,98
Costa Rica,CRI,2002,98.5
Costa Rica,CRI,2003,98.2
Costa Rica,CRI,2004,98.5
Costa Rica,CRI,2005,98.5
Costa Rica,CRI,2006,98.6
Costa Rica,CRI,2007,98.7
Costa Rica,CRI,2008,99.1
Costa Rica,CRI,2009,99.1
Costa Rica,CRI,2010,95.3
Costa Rica,CRI,2011,98.4
Costa Rica,CRI,2012,98.9
Costa Rica,CRI,2013,99
Costa Rica,CRI,2014,99.2
Costa Rica,CRI,2015,90
Cote d'Ivoire,CIV,1994,45.4
Cote d'Ivoire,CIV,1999,47.1
Cote d'Ivoire,CIV,2000,62.8
Cote d'Ivoire,CIV,2004,68
Cote d'Ivoire,CIV,2005,55.1
Cote d'Ivoire,CIV,2006,56.8
Cote d'Ivoire,CIV,2012,59.4
Cote d'Ivoire,CIV,2016,73.6
Croatia,HRV,1989,99.7
Croatia,HRV,1990,99.8
Croatia,HRV,1991,99.8
Croatia,HRV,1992,99.8
Croatia,HRV,1993,99.8
Croatia,HRV,1994,99.8
Croatia,HRV,1995,99.9
Croatia,HRV,1996,99.8
Croatia,HRV,1997,99.9
Croatia,HRV,1998,99.9
Croatia,HRV,1999,99.9
Croatia,HRV,2000,99.9
Croatia,HRV,2001,99.9
Croatia,HRV,2002,99.9
Croatia,HRV,2003,99.9
Croatia,HRV,2004,99.9
Croatia,HRV,2005,99.9
Croatia,HRV,2006,99.9
Croatia,HRV,2007,99.9
Croatia,HRV,2008,99.9
Croatia,HRV,2009,99.9
Croatia,HRV,2010,99.9
Croatia,HRV,2011,99.9
Croatia,HRV,2012,99.9
Croatia,HRV,2013,99.9
Croatia,HRV,2014,99.9
Croatia,HRV,2015,99.9
Cuba,CUB,1990,99.8
Cuba,CUB,1991,99.8
Cuba,CUB,1992,99.8
Cuba,CUB,1993,99.8
Cuba,CUB,1994,99.8
Cuba,CUB,1995,99.8
Cuba,CUB,1996,99.8
Cuba,CUB,1997,99.9
Cuba,CUB,1998,99.9
Cuba,CUB,1999,99.9
Cuba,CUB,2000,99.9
Cuba,CUB,2001,99.9
Cuba,CUB,2002,99.9
Cuba,CUB,2003,99.9
Cuba,CUB,2004,99.9
Cuba,CUB,2005,99.9
Cuba,CUB,2006,99.9
Cuba,CUB,2007,99.9
Cuba,CUB,2008,99.9
Cuba,CUB,2009,99.9
Cuba,CUB,2010,99.9
Cuba,CUB,2011,99.9
Cuba,CUB,2012,99.9
Cuba,CUB,2013,99.9
Cuba,CUB,2014,99.4
Cuba,CUB,2015,99.9
Cuba,CUB,2016,99.9
Cyprus,CYP,1990,100
Cyprus,CYP,1991,100
Cyprus,CYP,1992,100
Cyprus,CYP,1993,100
Cyprus,CYP,1994,100
Cyprus,CYP,1995,100
Cyprus,CYP,1996,100
Cyprus,CYP,1997,100
Cyprus,CYP,1998,100
Cyprus,CYP,1999,100
Cyprus,CYP,2000,97.9
Cyprus,CYP,2003,99
Cyprus,CYP,2004,95.7
Cyprus,CYP,2005,99.3
Cyprus,CYP,2006,98.5
Cyprus,CYP,2007,98.3
Cyprus,CYP,2008,97.2
Cyprus,CYP,2009,98.3
Cyprus,CYP,2010,98.6
Cyprus,CYP,2011,98.3
Cyprus,CYP,2012,98.7
Cyprus,CYP,2013,99.9
Cyprus,CYP,2014,97.4
Czech Republic,CZE,1989,100
Czech Republic,CZE,1990,100
Czech Republic,CZE,1991,100
Czech Republic,CZE,1992,100
Czech Republic,CZE,1993,100
Czech Republic,CZE,1994,100
Czech Republic,CZE,1995,100
Czech Republic,CZE,1996,100
Czech Republic,CZE,1997,100
Czech Republic,CZE,1998,99.9
Czech Republic,CZE,1999,99.9
Czech Republic,CZE,2000,99.8
Czech Republic,CZE,2001,99.8
Czech Republic,CZE,2002,99.8
Czech Republic,CZE,2003,99.8
Czech Republic,CZE,2004,99.8
Czech Republic,CZE,2005,99.8
Czech Republic,CZE,2006,99.7
Czech Republic,CZE,2007,99.7
Czech Republic,CZE,2008,99.6
Czech Republic,CZE,2009,99.6
Czech Republic,CZE,2010,99.7
Czech Republic,CZE,2011,99.9
Czech Republic,CZE,2012,99.9
Czech Republic,CZE,2013,99.8
Democratic Republic of Congo,COD,2001,60.7
Democratic Republic of Congo,COD,2007,64.4
Democratic Republic of Congo,COD,2010,74.1
Democratic Republic of Congo,COD,2014,80.1
Denmark,DNK,1987,100
Denmark,DNK,1997,98.3
Denmark,DNK,1998,98.8
Denmark,DNK,1999,98.7
Denmark,DNK,2000,98.8
Denmark,DNK,2001,98.9
Denmark,DNK,2002,98.8
Denmark,DNK,2003,98.9
Denmark,DNK,2004,98.6
Denmark,DNK,2005,98.8
Denmark,DNK,2006,98.7
Denmark,DNK,2007,97.8
Denmark,DNK,2009,98.7
Denmark,DNK,2010,98.5
Denmark,DNK,2011,98.5
Denmark,DNK,2012,98.2
Denmark,DNK,2013,96.3
Denmark,DNK,2014,95.9
Denmark,DNK,2015,95.4
Denmark,DNK,2016,94.4
Djibouti,DJI,2003,60.6
Djibouti,DJI,2006,78.4
Djibouti,DJI,2012,87.4
Dominica,DMA,1995,100
Dominica,DMA,1998,95
Dominica,DMA,1999,99.9
Dominica,DMA,2000,100
Dominica,DMA,2001,100
Dominica,DMA,2002,100
Dominica,DMA,2003,100
Dominica,DMA,2004,100
Dominica,DMA,2005,99
Dominica,DMA,2007,94
Dominica,DMA,2008,100
Dominica,DMA,2009,100
Dominica,DMA,2011,100
Dominica,DMA,2012,100
Dominica,DMA,2013,100
Dominica,DMA,2014,100
Dominica,DMA,2015,96
Dominica,DMA,2016,96
Dominican Republic,DOM,1986,89.8
Dominican Republic,DOM,1991,92.4
Dominican Republic,DOM,1996,95.5
Dominican Republic,DOM,1999,96.6
Dominican Republic,DOM,2000,97.6
Dominican Republic,DOM,2002,97.8
Dominican Republic,DOM,2006,95.5
Dominican Republic,DOM,2007,97.8
Dominican Republic,DOM,2010,96.9
Dominican Republic,DOM,2011,98.7
Dominican Republic,DOM,2012,98.8
Dominican Republic,DOM,2013,98.6
Dominican Republic,DOM,2014,97.7
Dominican Republic,DOM,2015,99.6
Early-demographic dividend,,2000,48.7739397761645
Early-demographic dividend,,2014,79.2808239393957
East Asia & Pacific,,1990,84.9911176956848
East Asia & Pacific,,2000,85.2440419925517
East Asia & Pacific,,2014,94.5633049320819
East Asia & Pacific (IDA & IBRD),,1990,83.9720443201083
East Asia & Pacific (IDA & IBRD),,2000,84.0062293572752
East Asia & Pacific (IDA & IBRD),,2014,94.156395536104
East Asia & Pacific (excluding high income),,1990,83.9718716648524
East Asia & Pacific (excluding high income),,2000,84.1811524790437
East Asia & Pacific (excluding high income),,2014,94.2264937061406
Ecuador,ECU,1987,61.3
Ecuador,ECU,1994,98.7
Ecuador,ECU,1999,99.1
Ecuador,ECU,2004,98.2
Ecuador,ECU,2005,80
Ecuador,ECU,2006,82.6
Ecuador,ECU,2007,84.1
Ecuador,ECU,2008,85.8
Ecuador,ECU,2009,87.7
Ecuador,ECU,2010,89.2
Ecuador,ECU,2011,91.1
Ecuador,ECU,2012,93.1
Ecuador,ECU,2013,94.7
Ecuador,ECU,2014,96.3
Ecuador,ECU,2015,95
Ecuador,ECU,2016,96.7
Egypt,EGY,1988,34.6
Egypt,EGY,1991,36.5
Egypt,EGY,1992,40.7
Egypt,EGY,1995,46.3
Egypt,EGY,1997,56.4
Egypt,EGY,1998,55.2
Egypt,EGY,2000,60.9
Egypt,EGY,2003,69.4
Egypt,EGY,2005,74.2
Egypt,EGY,2008,78.9
Egypt,EGY,2014,91.5
El Salvador,SLV,1985,85.4
El Salvador,SLV,1988,90
El Salvador,SLV,1993,87.4
El Salvador,SLV,1998,90.4
El Salvador,SLV,2003,92.4
El Salvador,SLV,2005,87.2
El Salvador,SLV,2006,89.6
El Salvador,SLV,2007,93.1
El Salvador,SLV,2008,95.5
El Salvador,SLV,2009,97.5
El Salvador,SLV,2010,98
El Salvador,SLV,2011,99
El Salvador,SLV,2012,99.5
El Salvador,SLV,2013,99.8
El Salvador,SLV,2014,98
El Salvador,SLV,2015,99.9
El Salvador,SLV,2016,99.9
Equatorial Guinea,GNQ,1994,5
Equatorial Guinea,GNQ,2000,64.6
Equatorial Guinea,GNQ,2011,68.3
Eritrea,ERI,1995,20.6
